label,marks_total,n_projects,top_ee_ensemble,ee_key
add 10 piazo -,77,1,,
90 2PO,77,1,,
LUT Z10,77,1,,
Type L26,76,1,,
Type L25,76,1,,
VENTILATEUR,76,19,,
B1000W 240V,76,1,,
détecteur fumée,76,1,,
DETECTEUR FUMÉE,76,3,,
INX,75,4,,
DISCONN 30A NF,75,6,,
FIXT MURAL,75,3,,
PRISE NOUV,75,1,,
ECL ESCALIER,75,1,,
FIXT TYPE WD3,75,1,,
FIXT TYPE D6,74,6,,
RELO HAUT PARLEUR,74,2,,
TR,74,8,,
347 B1000W,74,2,,
PRISE 15/20 COM,74,1,,
2X4,74,2,,
FIXT TYPE L10B,74,1,,
DISCRETE POWER,74,1,,
12 ETA FIXT TYPE L7,74,1,,
EXISTANT,74,2,,
HP 12 T1,74,1,,
C DMO,74,1,,
ADD 2 HP,74,2,,
FIXTURE TYPE S1A,74,2,,
PLAQUE,73,1,,
Hp Musique,73,2,,
Switch to remove,73,2,,
prise 20a,73,2,,
RAIL T6,73,1,,
MOUV,73,1,,
COMM TYPE DECTM,73,1,,
RCFF,73,4,,
Type E4,72,1,,
DETECTEUR RELO,72,4,,
URG,72,2,,
ECL LOG,72,1,,
POT ENLEVER,72,2,,
PANN 100A 120/240V 40CCTC/A MAIN DISJ,72,1,,
SERV 15/20A,72,2,,
3 FIXT TYPE E1A,72,1,,
SERV CONDENSEUR,72,1,,
FIXT TYPE EO,72,1,,
L4A,71,1,,
SERV BORNE SIMPLE,71,1,,
P-3RL,71,1,,
FIXT TYPE BK,70,2,,
RACCORD DIRECT 1CCT,70,2,,
20A 1P,70,6,,
FIXT TYPE S,70,7,,
F,70,11,,
PRISE N,70,1,,
prise info,70,1,,
HP 19,70,1,,
RS,69,5,,
FIXT TYPE D5,69,5,,
BOITE AV,69,1,,
CN,69,2,,
WIF,69,3,,
REV CAMÉRA,69,1,,
FIXT TYPE DL2,69,1,,
N PRISE SERV,69,1,,
FIXTURE TYPE B,69,9,,
Dimmer,68,2,,
Fixt (pot) to remove,68,1,,
B 1500W,68,10,,
EXIT 2 TETE,68,6,,
TYPE E,68,4,,
FIXT TYPE L-03,68,1,,
OS,68,6,,
12 ETA FIXT TYPE 12,68,1,,
F PRISE,68,3,,
ADD 2 RA,68,2,,
FIXT TYPE PS,68,3,,
E 400W,68,1,,
FIXT TYPE FE,67,2,,
TYPE L3,67,2,,
FIXT TYPE CN,67,1,,
UC,67,2,,
fixt type i,67,1,,
i fixt,67,1,,
HP 6 T1,67,1,,
R4 DF1,67,1,,
SPOT RAIL,67,1,,
ENL PR,67,1,,
101 1000W,67,1,,
H,66,10,,
FIXT TYPE LP3,66,2,,
FIXT TYPE BB,66,5,,
3 FIXT R1,66,1,,
P1500W,66,2,,
FIXT TYPE A9,66,2,,
INT DETECT,66,5,,
FIXT TYPE 30X30 RELO,66,2,,
TYPE L4,65,2,,
HORN WP,65,6,,
WF2000W 240V,65,1,,
FIXT TYPE FL4,65,1,,
Type E5,64,1,,
FIXT TYPE N2,64,8,,
MOTEUR 600V,64,5,,
FIXT TYPE S2,64,8,,
FIXT TYPE 2X2 RELO,64,2,,
TEL TRAY,64,1,,
FILLER,64,1,,
3 FIXT TYPE S1,64,1,,
8T,64,1,,
SERV STRIP COMM,64,2,,
FIXTURE 2x2,64,2,,
AD 30X30XRELO,64,2,,
Switch à enlever,63,1,,
HP 7 T1,63,1,,
15A 120 V,63,1,,
AP CL  RACCORD,63,1,,
